"payment_method","transactions","order_transaction","value","order_volume","date"
"PIX",0,1,0,2,"2020-Q2"
"PIX",0,1,0,2,"2020-Q3"
"PIX",0.01,1,0.01,2,"2020-Q4"
"PIX",0.07,1,0.04,2,"2021-Q1"
"PIX",0.13,1,0.06,2,"2021-Q2"
"PIX",0.17,1,0.08,2,"2021-Q3"
"PIX",0.21,1,0.09,2,"2021-Q4"
"PIX",0.23,1,0.1,2,"2022-Q1"
"PIX",0.26,1,0.11,2,"2022-Q2"
"PIX",0.3,1,0.13,2,"2022-Q3"
"PIX",0.32,1,0.14,2,"2022-Q4"
"PIX",0.34,1,0.15,2,"2023-Q1"
"PIX",0.37,1,0.16,2,"2023-Q2"
"PIX",0.4,1,0.18,2,"2023-Q3"
"PIX",0.42,1,0.2,2,"2023-Q4"
"PIX",0.44,1,0.22,2,"2024-Q1"
"PIX",0.46,1,0.23,2,"2024-Q2"
"PIX",0.47,1,0.24,2,"2024-Q3"
"PIX",0.48,1,0.25,2,"2024-Q4"
"PIX",0.49,1,0.26,2,"2025-Q1"
"PIX",0.51,1,0.27,2,"2025-Q2"
"Other Transfers",0.06,7,0.72,1,"2020-Q1"
"Other Transfers",0.08,7,0.74,1,"2020-Q2"
"Other Transfers",0.08,7,0.72,1,"2020-Q3"
"Other Transfers",0.07,7,0.71,1,"2020-Q4"
"Other Transfers",0.05,7,0.7,1,"2021-Q1"
"Other Transfers",0.04,7,0.69,1,"2021-Q2"
"Other Transfers",0.03,7,0.68,1,"2021-Q3"
"Other Transfers",0.03,7,0.66,1,"2021-Q4"
"Other Transfers",0.03,7,0.66,1,"2022-Q1"
"Other Transfers",0.03,7,0.66,1,"2022-Q2"
"Other Transfers",0.03,7,0.63,1,"2022-Q3"
"Other Transfers",0.02,7,0.62,1,"2022-Q4"
"Other Transfers",0.02,7,0.61,1,"2023-Q1"
"Other Transfers",0.02,7,0.61,1,"2023-Q2"
"Other Transfers",0.02,7,0.59,1,"2023-Q3"
"Other Transfers",0.02,7,0.57,1,"2023-Q4"
"Other Transfers",0.02,7,0.56,1,"2024-Q1"
"Other Transfers",0.02,7,0.57,1,"2024-Q2"
"Other Transfers",0.02,7,0.57,1,"2024-Q3"
"Other Transfers",0.02,7,0.56,1,"2024-Q4"
"Other Transfers",0.02,7,0.55,1,"2025-Q1"
"Other Transfers",0.02,7,0.54,1,"2025-Q2"
